狐狸座：177,55
233,50
天鹅座：245,76
506,24
499,161
556,237
607,57
仙女座：1361,74
1325,248
1276,87
1376,13
天琴座：359,278
334,229
289,215
仙王座：909,365
908,241
819,282
793,214
837,142
仙后座：1030,206
1088,199
1099,279
1093,328
三角座：1440,290
1427,268
1495,209
白羊座：1559,355
1659,201
1621,275
巨蛇座：19,950
56,687
17,553
武仙座：243,660
328,541
461,559
463,628
332,401
453,413
217,489
224,410
天龙座：519, 421
570, 399
707, 340
739, 397
663, 442
621, 503
612, 591
701, 622
792, 639
小熊座：725, 534
739, 493
772, 510
807, 476
872, 472
鹿豹座：1081, 520
1145, 459
1043, 466
972, 498
英仙座：1191, 396
1252, 432
1374, 410
1323, 509
1425, 543
北冕座：331, 697
355, 742
390, 721
牧夫座：439, 736
448, 737
501, 706
530, 753
463, 854
379, 930
491, 954
后发座：575, 903
684, 928
579, 978
猎犬座：660, 840
701, 830
大熊座：649, 730
698, 702
763, 723
843, 717
927, 694
964, 700
900, 737
916, 773
978, 801
829, 744
767, 767
787, 808
830, 832
874, 832
889, 862
小狮座：841, 920
913, 906
天猫座：972, 885
1000, 835
1060, 802
1065, 737
1070, 660
御夫座：1218, 684
1246, 618
1312, 625
1356, 676
1350, 732
1263, 733
1421, 709
金牛座：1554, 713
1547, 604
1718, 633
1421, 814
1432, 709
天秤座：74,1160
10,1159
153,1117
215,1229
147,1322
室女座：457,1230
350,1193
284,1114
325,1038
417,1075
467,1134
579,1161
554,1114
682,1088
641,1162
718,1126
狮子座：718,1047
799,1005
782,1060
920,1080
876,1022
939,970
巨蟹座：1049,1002
1054,935
1077,936
1049,1069
1024,1069
双子座：1187,859
1158,918
1207,936
1241,876
1315,863
1284,908
1229,985
1303,968
1303,934
小犬座：1219,1092
1242,1043
猎户座：1442,960
1389,911
1366,860
1468,906
1520,922
1609,863
1619,900
1514,1035
1552,999
1547,1125
1627,1064
乌鸦座：592,1318
572,1390
628,1384
620,1330
巨爵座：678,1333
720,1264
757,1313
730,1341
755,1377
791,1346
六分仪座：854,1182
908,1185
长蛇座：457,1373
648,1496
724,1474
838,1321
899,1324
931,1297
1003,1251
988,1189
1058,1111
1097,1125
麒麟座：1410,1028
1313,1112
1439,1130
1173,1174
1254,1229
天兔座：1521,1215
1561,1181
1621,1206
1589,1279
1618,1281
1659,1244
1745,1240
1687,1162
1659,1118
大犬座：1373,1218
1372,1261
1413,1263
1374,1386
1331,1436
1404,1417
1443,1290
1482,1249
1428,1455
1515,1417
豺狼座：38,1606
40,1522
17,1712
133,1648
239,1684
半人马座：155,1634
309,1624
374,1599
313,1523
440,1523
336,1696
353,1737
549,1701
639,1744
唧筒座：879,1499
939,1533
罗盘座：1092,1444
1136,1509
船帆座：837,1716
919,1605
1028,1578
1191,1679
1152,1728
900,1739
船尾座：1235,1576
1215,1379
1273,1378
1471,1633
1421,1745
1489,1733
1228,1729
天鸽座：1634,1503
1544,1497
1515,1461
1686,1473
1602,1621
